index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-country,B2B,fulfilled-by,Customer ID,Payment Method,Return Status,Product Rating,Customer Segment,Platform
23,404-6019946-2909948,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,SET291,Unknown,Misc,M,B099NK55YG,Unknown,0,INR,568.0,Unknown,MAHARASHTRA,Unknown,False,Merchant,CUST8849,Credit Card,Not Returned,4,New,Web
24,402-3384087-4005164,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5002,Unknown,Misc,L,B08YYYDN9R,Shipped,1,INR,568.0,Unknown,ASSAM,Unknown,False,Merchant,CUST3047,COD,Not Returned,3,New,App
25,405-8191138-5176316,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW030,Unknown,Set,XS,B09G2RQSRZ,Unknown,1,INR,582.0,RANCHI,JHARKHAND,IN,False,Easy Ship,CUST3747,COD,Not Returned,3,Regular,Mobile
26,403-9230474-9657916,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3415,Unknown,Misc,3XL,B082W8JXJ9,Unknown,1,INR,568.0,BILASPUR,Unknown,IN,False,Merchant,CUST1189,COD,Not Returned,4,New,Mobile
27,408-3484251-6901959,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,PJNE2199,PJNE2199-KR-N-4XL,Misc,4XL,B09LD2W9XL,Unknown,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST3734,Credit Card,Not Returned,3,New,Web
28,405-7755803-4729935,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3567,Unknown,Misc,M,B08KRXV1QR,Unknown,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST4005,COD,Not Returned,1,New,Web
29,404-5933402-8801952,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,JNE2132,Unknown,Misc,3XL,B07JG3CND8,Unknown,0,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST5658,COD,Not Returned,2,New,Mobile
30,171-9040274-9291563,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0341,Unknown,Western Dress,S,B099NR7612,Unknown,1,INR,568.0,Unknown,TAMIL NADU,Unknown,False,Merchant,CUST2899,Credit Card,Not Returned,5,New,App
31,403-7056319-0979561,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5009,Unknown,Misc,XL,B08YYTCPYX,Shipped,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST8734,Wallet,Not Returned,5,New,App
32,404-9632124-1107550,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0011,Unknown,Set,M,B08B3YNJG5,Shipped,1,INR,1233.0,Unknown,ANDHRA PRADESH,Unknown,False,Easy Ship,CUST2267,COD,Returned,2,VIP,App
33,402-1465437-0579556,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3766,Unknown,kurta,M,B09K3XR43V,Shipped,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST2528,COD,Not Returned,4,New,Web
34,404-7774085-3780319,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XL,kurta,XL,B082W8BXW1,Unknown,1,INR,568.0,HYDERABAD,Unknown,Unknown,False,Merchant,CUST4556,Wallet,Not Returned,5,New,Web
35,402-2764952-1492318,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5001,Unknown,kurta,XL,B08YYRH2Q6,Shipped,1,INR,499.0,Unknown,Unknown,Unknown,False,Merchant,CUST4890,COD,Not Returned,3,New,Mobile
36,406-0272200-7784379,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET345,Unknown,Misc,L,B09KXT4VG7,Shipped,1,INR,568.0,CHENNAI,TAMIL NADU,Unknown,False,Merchant,CUST9838,Credit Card,Not Returned,5,New,Web
37,403-4367956-2849158,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3787,JNE3787-KR-S,kurta,S,B09RKBXM5B,Shipped,1,INR,568.0,Unknown,DELHI,Unknown,False,Merchant,CUST6393,Credit Card,Not Returned,5,New,Web
38,403-4367956-2849158,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3543,JNE3543-KR-S,kurta,S,B08HHJP41L,Unknown,1,INR,568.0,NEW DELHI,DELHI,Unknown,False,Merchant,CUST9792,COD,Not Returned,3,New,Mobile
39,403-4242957-8599555,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Unknown,1,INR,568.0,THIRUVANANTHAPURAM,Unknown,Unknown,False,Merchant,CUST9433,Credit Card,Not Returned,1,New,App
40,408-7165704-5643524,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0211,J0211-DR-XXL,Misc,XXL,B09831VWD9,Unknown,1,INR,699.0,GREATER NOIDA,Unknown,IN,False,Merchant,CUST8513,Credit Card,Not Returned,5,Regular,Mobile
41,402-8210765-3935569,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0401,Unknown,Misc,3XL,B09SDXZBGX,Shipped,1,INR,885.0,Unknown,Unknown,IN,False,Merchant,CUST3612,COD,Not Returned,3,Regular,Web
42,406-7398201-3869914,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2153,JNE2153-KR-278-A-M,Misc,M,B0794YR85H,Unknown,1,INR,424.0,MUMBAI,Unknown,Unknown,False,Easy Ship,CUST8041,COD,Returned,1,New,Web
43,408-3478480-0881162,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET360,SET360-KR-NP-M,Misc,M,B09QJM1D7F,Unknown,1,INR,568.0,LUCKNOW,Unknown,Unknown,False,Merchant,CUST7235,Wallet,Not Returned,4,New,Web
44,402-7595162-9129931,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET268,Unknown,Set,L,B08XQ8MCKP,Unknown,1,INR,568.0,Unknown,MAHARASHTRA,IN,False,Merchant,CUST6486,COD,Not Returned,2,New,Mobile
45,171-6876154-6233146,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-S,Set,S,B08B3Z38TJ,Shipped,1,INR,759.0,Unknown,Unknown,IN,False,Merchant,CUST8099,Credit Card,Not Returned,5,Regular,Web
46,408-3917043-5314763,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0230,Unknown,Misc,L,B08XNDL1DL,Unknown,1,INR,568.0,ONGOLE,Unknown,Unknown,False,Merchant,CUST1775,Credit Card,Not Returned,2,New,Web
47,408-9281152-6213100,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3744,JNE3744-TU-S,Top,S,B0986ZHR9D,Unknown,1,INR,665.0,Unknown,Unknown,Unknown,False,Merchant,CUST9226,COD,Not Returned,3,Regular,App
48,403-3496411-3082707,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-S,Misc,S,B08WPTJBBD,Unknown,1,INR,568.0,HYDERABAD,Unknown,Unknown,False,Merchant,CUST4152,Credit Card,Not Returned,5,New,Web
49,171-9208368-0157156,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,Misc,M,B081WVMMCY,Unknown,1,INR,568.0,Unknown,UTTAR PRADESH,Unknown,False,Easy Ship,CUST2585,Wallet,Not Returned,5,New,App
50,408-2137113-0982751,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0186,J0186-SET-S,Misc,S,B091Z81MLX,Unknown,1,INR,568.0,CUTTACK,ODISHA,IN,False,Merchant,CUST4943,COD,Not Returned,5,New,App
51,402-3628566-9688333,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0003,Unknown,Set,M,B0894XH3LN,Unknown,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST8555,COD,Not Returned,4,New,App
52,408-7138000-9728362,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET282,Unknown,Set,M,B09CTCDDQ4,Unknown,1,INR,1033.0,dimapur,NAGALAND,Unknown,False,Merchant,CUST4073,Wallet,Not Returned,5,VIP,App
53,402-1752649-2274748,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE1407,Unknown,kurta,XL,B01M4IAS51,Unknown,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST2021,COD,Not Returned,4,New,Web
54,402-7944191-1869101,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0301,Unknown,Misc,L,B099S6795L,Unknown,1,INR,568.0,Unknown,KARNATAKA,Unknown,False,Merchant,CUST4843,COD,Not Returned,5,New,Web
55,407-4063876-9566742,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3869,Unknown,Misc,S,B09RK67Y51,Shipped,1,INR,721.0,WARANGAL,Unknown,Unknown,False,Merchant,CUST8989,Wallet,Not Returned,3,Regular,App
56,403-0752752-4656334,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XS,Set,XS,B09NQ4DD29,Unknown,1,INR,597.0,Unknown,RAJASTHAN,Unknown,False,Merchant,CUST7873,Credit Card,Not Returned,5,Regular,Web
57,406-8879861-2081117,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,Misc,L,B081WSCKPQ,Unknown,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST6675,Wallet,Not Returned,4,New,Web
58,406-8089333-7941903,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET279,Unknown,Misc,S,B09CT6L67S,Unknown,1,INR,568.0,Bengaluru,KARNATAKA,Unknown,False,Merchant,CUST1161,COD,Not Returned,1,New,Web
59,171-3072652-6805159,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE2014,Unknown,kurta,XXL,B077MF72BK,Unknown,1,INR,568.0,HYDERABAD,TELANGANA,Unknown,False,Merchant,CUST5297,COD,Not Returned,2,New,Web
60,171-2592464-6846743,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW005,Unknown,Misc,XL,B0922WJ27J,Shipped,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST1995,COD,Not Returned,5,New,App
61,404-2262140-4696366,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE2270,Unknown,Misc,M,B07H7FZD32,Shipped,1,INR,568.0,NAGPUR,Unknown,IN,False,Merchant,CUST8629,Credit Card,Not Returned,5,New,Web
62,404-2262140-4696366,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3579,JNE3579-KR-M,Misc,M,B08QGK2BS2,Shipped,1,INR,568.0,Unknown,MAHARASHTRA,Unknown,False,Merchant,CUST2016,Credit Card,Not Returned,3,New,Web
63,405-3594372-1614709,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XS,Set,XS,B09RKFBMYD,Shipped,1,INR,568.0,GREATER NOIDA,Unknown,Unknown,False,Merchant,CUST8869,COD,Not Returned,4,New,Web
64,407-2974257-4781134,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-M,Misc,M,B08YN44FZJ,Unknown,1,INR,568.0,Unknown,MAHARASHTRA,Unknown,False,Merchant,CUST7439,COD,Not Returned,5,New,Web
65,171-4137548-0481151,4/30/2022,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,Cancelled,0,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST8892,Credit Card,Not Returned,2,New,Mobile
66,405-4461562-9113959,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET333,Unknown,Misc,XXL,B09RKDZ461,Unknown,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST7863,COD,Not Returned,2,New,App
67,404-4535078-5241919,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3645,Unknown,Top,L,B08ZHNGS54,Shipped,1,INR,568.0,PUNE,Unknown,Unknown,False,Merchant,CUST8916,COD,Not Returned,5,New,Mobile
68,405-8387725-2971512,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET233,Unknown,Misc,L,B08MXF6MZF,Unknown,1,INR,545.0,BENGALURU,Unknown,IN,False,Merchant,CUST9529,Wallet,Not Returned,1,Regular,Web
69,405-6480932-8759528,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0381,J0381-SKD-XXXL,Set,3XL,B09M6VGNX8,Unknown,1,INR,568.0,VIJAPURA,Unknown,Unknown,False,Merchant,CUST1878,COD,Not Returned,3,New,Mobile
70,405-9966506-3155561,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3068,Unknown,Misc,XL,B07H7F97S4,Unknown,1,INR,568.0,Unknown,TAMIL NADU,Unknown,False,Merchant,CUST5887,Credit Card,Not Returned,3,New,App
71,408-7029737-8028367,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3718,Unknown,kurta,M,B099FB63Q6,Unknown,1,INR,568.0,MUMBAI,Unknown,Unknown,False,Merchant,CUST5859,Credit Card,Not Returned,5,New,Mobile
72,407-2189901-7515567,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET386,SET386-KR-NP-S,Set,S,B09K3YFPSS,Shipped,1,INR,568.0,Unknown,KARNATAKA,Unknown,False,Easy Ship,CUST7331,COD,Not Returned,1,New,Web
73,402-2105657-2899562,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3745,Unknown,Misc,XXL,B09K3WDYB6,Unknown,1,INR,568.0,Unknown,KARNATAKA,Unknown,False,Merchant,CUST9571,COD,Not Returned,2,New,App
74,406-1326801-8886709,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3467,Unknown,Misc,XL,B08CDQKS84,Unknown,1,INR,362.0,BERHAMPUR,ODISHA,Unknown,False,Merchant,CUST9684,COD,Not Returned,1,New,Mobile
75,408-7760667-5809130,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3721,Unknown,Misc,L,B099FBM4FZ,Shipped,1,INR,329.0,HYDERABAD,TELANGANA,Unknown,False,Merchant,CUST8208,Credit Card,Not Returned,3,New,Web
76,405-8457623-9269955,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,Unknown,kurta,XXL,B081WSL2JS,Unknown,1,INR,568.0,PUNE,MAHARASHTRA,IN,False,Merchant,CUST6276,COD,Not Returned,3,New,Web
77,408-6820155-3521913,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET295,SET295-KR-NP-XXXL,Misc,3XL,B09PN3GVMZ,Shipped,1,INR,751.0,Unknown,Unknown,Unknown,False,Merchant,CUST3062,Credit Card,Not Returned,3,Regular,Web
78,403-6190683-2687538,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3861,JNE3861-DR-XL,Western Dress,XL,B09SDZ14KR,Shipped,1,INR,791.0,Unknown,Gujarat,Unknown,False,Merchant,CUST1064,Wallet,Not Returned,3,Regular,App
79,408-4069830-3819562,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET288,Unknown,Set,3XL,B09M6STTBC,Shipped,1,INR,568.0,Kolkata,Unknown,Unknown,False,Merchant,CUST9006,Wallet,Not Returned,3,New,Web
80,408-4069830-3819562,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET394,SET394-KR-NP-XXXL,Set,3XL,B09TH6R8K4,Shipped,1,INR,568.0,Kolkata,Unknown,Unknown,False,Merchant,CUST3568,COD,Returned,2,New,Mobile
81,408-4069830-3819562,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET397,SET397-KR-NP-XXXL,Misc,3XL,B09RKDPH6J,Shipped,1,INR,568.0,Kolkata,WEST BENGAL,Unknown,False,Merchant,CUST6463,Credit Card,Not Returned,4,New,Web
82,171-7367545-7081126,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5002,Unknown,Misc,XXL,B08YZ1HZ7B,Shipped,1,INR,499.0,Unknown,TELANGANA,IN,False,Merchant,CUST3027,Wallet,Not Returned,5,New,Web
83,404-6522553-9345930,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,SET377,Unknown,Misc,M,B09TZV23QS,Unknown,0,INR,1105.36,Unknown,Unknown,IN,False,Easy Ship,CUST3695,COD,Not Returned,4,VIP,Web
84,403-9950518-0349133,4/30/2022,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,Misc,M,B08WPR5MCB,Unknown,0,INR,568.0,HYDERABAD,TELANGANA,Unknown,False,Merchant,CUST6258,COD,Not Returned,5,New,Web
85,407-6599093-6553153,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038,Unknown,Misc,3XL,B08KR9JYNQ,Unknown,1,INR,568.0,Unknown,WEST BENGAL,IN,False,Easy Ship,CUST6618,COD,Not Returned,5,New,App
86,403-3763475-2237125,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0343,J0343-DR-M,Misc,M,B0982ZJ666,Shipped,1,INR,744.0,Unknown,TAMIL NADU,Unknown,False,Merchant,CUST7736,COD,Not Returned,2,Regular,Mobile
87,405-1492294-0323520,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0341,Unknown,Misc,XL,B099NQJZPQ,Shipped,1,INR,568.0,Unknown,UTTARAKHAND,IN,False,Merchant,CUST1391,Credit Card,Not Returned,4,New,Web
88,403-1162895-2484367,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295,Unknown,Western Dress,XXL,B099NSGTJ9,Shipped,1,INR,859.0,Unknown,Unknown,Unknown,False,Merchant,CUST6892,COD,Not Returned,4,Regular,App
89,171-6833843-5473114,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3560,Unknown,kurta,M,B08PCVMF6R,Unknown,1,INR,568.0,Unknown,Gujarat,Unknown,False,Merchant,CUST4561,Credit Card,Not Returned,3,New,Mobile
90,403-1477057-8253913,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0333,Unknown,Western Dress,3XL,B0983121HP,Shipped,1,INR,825.0,Unknown,KERALA,Unknown,False,Merchant,CUST7184,Credit Card,Not Returned,4,Regular,Mobile
91,408-2114413-6089906,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET389,Unknown,Misc,M,B09KXTTVB5,Shipped,1,INR,568.0,Unknown,BIHAR,IN,False,Merchant,CUST4099,Credit Card,Not Returned,4,New,App
92,405-1879750-2639521,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3801,Unknown,Misc,3XL,B09SDYSR1F,Unknown,1,INR,725.0,Unknown,Unknown,Unknown,False,Easy Ship,CUST7278,Credit Card,Not Returned,5,Regular,Mobile
93,406-5727754-5302723,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET098,Unknown,Set,M,B07X3K4L82,Unknown,1,INR,568.0,Unknown,Gujarat,Unknown,False,Merchant,CUST9392,COD,Not Returned,5,New,Mobile
94,405-0901744-8270705,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5013,Unknown,Misc,L,B08YYR9G96,Unknown,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST4104,Credit Card,Not Returned,2,New,Mobile
95,405-9112089-3379536,4/30/2022,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Cancelled,0,INR,568.0,PUNE,MAHARASHTRA,Unknown,False,Merchant,CUST8215,COD,Not Returned,2,New,Web
96,408-6357132-2310703,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0003,Unknown,Misc,L,B0894Y4PNG,Unknown,1,INR,568.0,Jammu,Unknown,IN,False,Merchant,CUST3454,COD,Not Returned,3,New,Web
97,406-5334922-9670748,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XXXL,kurta,3XL,B099NJ1WVX,Shipped,1,INR,406.0,Unknown,KARNATAKA,Unknown,False,Merchant,CUST9996,COD,Not Returned,3,New,Mobile
98,402-8519791-3706738,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET347,Unknown,Misc,S,B09RKDJ9SQ,Unknown,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST3731,Wallet,Not Returned,4,New,Web
99,408-1830318-0357940,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,Unknown,kurta,XXL,B081WSL2JS,Shipped,1,INR,568.0,Unknown,Unknown,IN,False,Merchant,CUST9154,Wallet,Not Returned,3,New,Web
100,406-5103760-7326749,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3391,JNE3391-KR-XXL,kurta,XXL,B081WYHTF2,Shipped,1,INR,432.0,Ahmedabad,Unknown,Unknown,False,Merchant,CUST6056,COD,Not Returned,5,New,Web
101,402-7841951-1872363,4/30/2022,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-S,Misc,S,B09RKDJ9SQ,Cancelled,0,INR,568.0,Unknown,DELHI,Unknown,False,Merchant,CUST9110,COD,Not Returned,2,New,Mobile
